"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"45-54"	"M"	2000	"I20-I25"	103.5	2
"45-54"	"M"	2000	"I30-I51"	24.5	5
"45-54"	"M"	2000	"I60-I69"	17.5	9
"45-54"	"M"	2000	"K70-K76"	32.5	3
"45-54"	"M"	2000	"V01-V99"	22.7	6
"45-54"	"M"	2000	"W00-X59"	25.5	4
"45-54"	"M"	2000	"X60-X84"	22.4	7
"55-64"	"F"	1999	"A30-A49"	11.1	9
"55-64"	"F"	1999	"C00-C97"	325	1
"55-64"	"F"	1999	"E10-E14"	34.3	5
"55-64"	"F"	1999	"I10-I15"	13.6	8
"55-64"	"F"	1999	"I20-I25"	115.1	2
"55-64"	"F"	1999	"I30-I51"	32.8	6
"55-64"	"F"	1999	"I60-I69"	35.1	4
"55-64"	"F"	1999	"J40-J47"	43.1	3
"55-64"	"F"	1999	"K70-K76"	17.7	7
"55-64"	"F"	1999	"N17-N19"	10.4	10
"55-64"	"F"	2000	"A30-A49"	11.5	9
"55-64"	"F"	2000	"C00-C97"	321.3	1
"55-64"	"F"	2000	"E10-E14"	33.6	5
"55-64"	"F"	2000	"I10-I15"	13.5	8
"55-64"	"F"	2000	"I20-I25"	110.4	2
"55-64"	"F"	2000	"I30-I51"	31.3	6
"55-64"	"F"	2000	"I60-I69"	35.3	4
"55-64"	"F"	2000	"J40-J47"	41	3
"55-64"	"F"	2000	"K70-K76"	18.3	7
"55-64"	"F"	2000	"N17-N19"	11.2	10
"55-64"	"M"	1999	"C00-C97"	428.4	1
"55-64"	"M"	1999	"E10-E14"	42.6	6
"55-64"	"M"	1999	"I10-I15"	21.4	9
"55-64"	"M"	1999	"I20-I25"	299.3	2
"55-64"	"M"	1999	"I30-I51"	60.8	3
"55-64"	"M"	1999	"I60-I69"	46.5	5
"55-64"	"M"	1999	"J40-J47"	52.3	4
"55-64"	"M"	1999	"K70-K76"	42.1	7
"55-64"	"M"	1999	"V01-V99"	22	8
"55-64"	"M"	1999	"W00-X59"	20.9	10
"55-64"	"M"	2000	"C00-C97"	415.8	1
"55-64"	"M"	2000	"E10-E14"	42.4	6
"55-64"	"M"	2000	"I10-I15"	22.4	8
"55-64"	"M"	2000	"I20-I25"	290.2	2
"55-64"	"M"	2000	"I30-I51"	58.3	3
"55-64"	"M"	2000	"I60-I69"	47.2	5
"55-64"	"M"	2000	"J40-J47"	47.8	4
"55-64"	"M"	2000	"K70-K76"	41.3	7
"55-64"	"M"	2000	"V01-V99"	22.1	9
"55-64"	"M"	2000	"W00-X59"	21.1	10
"65-74"	"F"	1999	"A30-A49"	29.7	9
"65-74"	"F"	1999	"C00-C97"	669.5	1
"65-74"	"F"	1999	"E10-E14"	85.2	6
"65-74"	"F"	1999	"I10-I15"	33.3	7
"65-74"	"F"	1999	"I20-I25"	362	2
"65-74"	"F"	1999	"I30-I51"	96.6	5
"65-74"	"F"	1999	"I60-I69"	117.2	4
"65-74"	"F"	1999	"J09-J18"	29.3	10
"65-74"	"F"	1999	"J40-J47"	149.8	3
"65-74"	"F"	1999	"N17-N19"	32.2	8
"65-74"	"F"	2000	"A30-A49"	29.2	10
"65-74"	"F"	2000	"C00-C97"	663.6	1
"65-74"	"F"	2000	"E10-E14"	83.7	6
"65-74"	"F"	2000	"I10-I15"	32.9	8
"65-74"	"F"	2000	"I20-I25"	340.3	2
"65-74"	"F"	2000	"I30-I51"	94.7	5
"65-74"	"F"	2000	"I60-I69"	115.1	4
"65-74"	"F"	2000	"J09-J18"	31.5	9
"65-74"	"F"	2000	"J40-J47"	148.2	3
