"birthage1"	"birthage2"	"birthage3"	"birthage4"	"birthage5"	"birthage6"	"birthage7"	"birthage8"	"birthage9"	"birthage10"	"birthage11"	"birthage12"	"birthage13"	"birthage14"	"caseid"	"age"
21														75025	40
23	25	30	33											80018	34
18														74393	47
28	30	33												78884	40
17	19	25	33	40										73696	42
21														77714	50
18	26													77951	28
43														77446	49
17	19	20												78760	32
26														73284	30
34	35	37	39											72358	45
27	30													72361	40
28	31													80333	40
23	24													74976	26
15	16	21	24											80355	49
19	22	25												78255	25
18	22	25												77562	25
27	30													74376	46
21	25													80509	26
23	26													78690	46
25	33													77074	36
30	33	37												77568	37
21														77710	21
26														72111	34
23	28													76795	36
22	29													72784	30
28	31													80503	42
25	28													73390	29
25	27	29	31	35	37									79156	38
19	27													74371	34
24	30	32												78082	36
23	24	27												76170	41
26	30													72969	39
24														74645	41
18	20	24												79957	43
24	27													77573	32
25	27													72927	34
20	26													71953	31
13	17	18	20	20										77868	49
17														75807	29
27														71595	27
22	33	34												74793	44
20														77897	25
19														72093	20
23	25													73858	26
18	19	33												80476	47
27	37													78493	38
19	21	23	25											75465	42
20	23													74907	48
18	35													74598	38
22	24													73499	34
26	28													79851	30
22	24	26												80114	31
16	21													71293	47
32	33													73527	42
18	20	21	22	39										74940	45
17	20													76993	47
20	24	31												77232	32
23	25	29												76267	36
19	24													77658	33
19	27	31	35											74060	47
19	25													77729	41
27														71175	27
19	25													73505	40
38	41													73222	42
28														75792	37
31	35													74675	43
19	27	28												70662	31
20														74103	47
23	25													79089	36
22	28	33												79187	34
23	26	28	36											76727	38
18	34	39												71350	44
24	31	41												76979	43
18														79599	26
21	28													75492	30
27	30	32												71426	36
37	39													73300	46
21														73201	24
27														73198	48
18	20	22	25	27										73603	29
18	23													75040	27
36														76987	39
23														75441	24
23	25	31	34											77316	46
23	25													74893	27
19	19	21												71818	29
17	19	23												76503	47
35														76650	48
18														79364	34
23	24	27												73081	29
18	23	27												72284	30
20														78060	44
24														76082	25
21														71757	23
19	22	24	28											72698	36
39														80702	43
20	25													73461	26
19	23													78824	46
23	32	33												74729	46
28	31													72444	32
19	21	24	28											72545	32
19	21													72469	44
20	25													80530	27
35	39													77798	47
19														71940	23
18														76141	23
23	27	32												75050	41
28														71012	31
30														71476	31
17	26	31												71910	33
26														76464	28
23	25	28	30											72438	34
21	23													73825	30
25	27													73502	28
24														72525	48
31														70807	42
24														76625	35
39														70924	45
20	22	25	26											78845	29
16	17													80519	18
28	32													70666	46
30	34													78101	47
22	27													76358	34
30	32													76869	35
35														77212	42
20	24													71714	26
19	24													76336	28
18	23	35												73459	43
20														76708	21
20	31													79345	40
20	23	24												74334	26
33	35													76174	45
18														73968	24
26	33	41												71773	44
23														77188	27
31	34													78151	44
30	31													79475	32
21	26													72676	47
23	31													79407	45
19	20	24	35											72661	44
19	30													77513	45
28	30	32												80140	33
30														77957	30
26														79687	29
24														78632	41
22	24	32												75047	35
22	34													73638	36
20														72819	23
23	27													72262	28
18	19	21												77369	21
24	25	27	28	29	31	33	34							79684	37
20	21	23												74277	46
21	28													75299	39
22	25	37												78515	49
21	30													75161	44
20	33	35												75986	44
26	30													79799	38
17	19	23												77587	45
22	25													78926	25
29	31													78078	42
20	24													77134	44
26	30													77202	33
22														74975	24
29	30	36												75940	42
32														76380	35
29	31													72263	34
29														76755	46
21	22													80082	23
18	21	22	30											73754	34
26	35													73368	35
16	26	27	34											72705	36
20	22													79256	45
17	19	21	23	23										71017	49
19														72474	23
18														72973	34
27														72612	35
26														74596	37
16	19	25	26	37										71111	47
14	18													76196	25
26	28	35												76085	38
29														80030	31
28	33	37	41											80136	47
22														78509	28
16	23													78387	30
18	22	23												74943	26
26	29													80514	46
24	33													71106	34
25	28	31												71684	35
19														79885	44
19	33													73508	44
19	23													80002	33
32	34													77896	39
21	23													71107	28
25														71240	44
17														77909	22
18	21	24	30											78069	35
25	28	34												75484	46
18	19													78189	19
22	24	27	30											79317	46
22	25													74946	35
26	33													74614	47
29	32	37												72419	38
28	32													74803	34
27	29													79006	41
25														75756	45
33	37													78416	45
19	22													79561	28
23														76674	23
24	29													74367	43
24	36													72764	49
20	22	25	27											78658	28
21	25													71441	45
32														78376	43
25														78084	34
29														79067	35
17														78029	22
28	32													77280	40
21	34	36												78955	42
34														76663	49
26	31													76081	35
27														73281	33
25	28	29												73193	30
20														74930	23
22	24	30	33											74478	36
24	35	36												79048	38
37	40													76600	45
20	25													76211	39
33	36													74161	47
21	30													75991	32
22	27	29												72563	35
31														79053	31
20	22													76848	23
32	35													79532	41
16	22													76926	23
18	21	29												75241	45
38														80083	43
28	33													79446	42
23	28	31	34											74559	39
28	34													72368	37
30	35	38												71192	39
33														73242	34
19	23	31												73331	37
19	21	24												78933	49
22	27													79539	42
23														75559	24
20	23													76545	26
19	21	26												74184	26
19	24													76246	30
14	20	21												73922	24
25	28													76232	29
19	24													79907	39
21	25													74349	26
22														78367	23
21														70830	26
32														74481	33
35	38													75332	38
28	30	33												79188	40
30	34													72145	44
18	19	22												73423	25
19	24													71640	48
20	22	28												77556	37
21	23													76799	35
32	34													79143	39
22	25													76127	41
26	29													78977	30
